Station from / to,Airport,Meenambakkam,Nanganallur,Arignar Anna Alandur,Guindy,Little Mount,Saidapet,Nandanam,Teynampet,AG - DMS,Thousand Light,LIC,Government Estate,Puratchi Thalaivar Dr.M.G.Ramachandran Central,High Court,Mannadi,Washermenpet,Thiyagaraya College,Tondiarpet,New Washermenpet,Tollgate,Kaladipet,Thiruvottriyur Theradi,Thiruvotriyur,Wimco Nagar,Wimco Nagar Depot Station,Ekkattuthangal,Ashok Nagar,Vadapalani,Arumbakkam,Puratchi Thalaivi Dr.J.Jayalaithaa CMBT,Koyambedu,Thirumangalam,Anna Nagar Tower,Anna Nagar East,Shenoy Nagar,Pachaiyappas College,Kilpauk,Nehru Park,Egmore,St. Thomas Mount,
Airport,0,10,20,20,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,30,30,30,30,40,40,40,40,40,40,40,50,40,40,30
Meenambakkam,10,0,20,20,20,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,20,30,30,30,30,40,40,40,40,40,40,40,40,40,20
Nanganallur,20,20,0,10,20,20,20,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,20,20,30,30,30,30,40,40,40,40,40,40,40,40,20
Arignar Anna Alandur,20,20,10,0,10,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,10,20,30,30,30,30,30,30,40,40,40,40,40,40,10
Guindy,30,20,20,10,0,10,20,20,20,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,50,20,20,30,30,30,30,40,40,40,40,40,40,40,40,20
Little Mount,30,30,20,20,10,0,10,20,20,20,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,50,20,30,30,30,30,30,40,40,40,40,40,40,40,30,20
Saidapet,30,30,20,20,20,10,0,10,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,30,30,30,30,30,40,40,40,40,40,40,40,30,30,30
Nandanam,30,30,30,30,20,20,10,0,10,10,20,20,30,30,30,30,30,40,40,40,40,40,40,40,40,40,30,30,30,40,40,40,40,40,40,40,30,30,30,30,30
Teynampet,30,30,30,30,20,20,20,10,0,10,20,20,20,30,30,30,30,30,40,40,40,40,40,40,40,40,30,30,30,40,40,40,40,40,40,40,30,30,30,30,30
AG - DMS,40,30,30,30,30,20,20,10,10,0,10,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,30,30,40,40,40,40,40,40,40,30,30,30,30,30,30
Thousand Light,40,40,30,30,30,30,30,20,20,10,0,10,10,20,30,30,30,30,30,30,40,40,40,40,40,40,30,40,40,40,40,40,40,30,30,30,30,30,30,30,30
LIC,40,40,30,30,30,30,30,20,20,20,10,0,10,20,20,30,30,30,30,30,30,30,40,40,40,40,30,40,40,40,40,40,30,30,30,30,30,30,30,20,30
Government Estate,40,40,40,30,30,30,30,30,20,20,10,10,0,10,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,20,20,40
Puratchi Thalaivar Dr.M.G.Ramachandran Central,40,40,40,40,30,30,30,30,30,30,20,20,10,0,10,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,30,30,30,30,30,30,20,20,20,10,40
High Court,40,40,40,40,40,30,30,30,30,30,30,20,20,10,0,10,20,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,30,30,30,30,30,20,20,20,40
Mannadi,40,40,40,40,40,40,30,30,30,30,30,30,20,20,10,0,10,20,20,20,30,30,30,30,30,30,40,40,40,40,40,40,30,30,30,30,30,30,20,20,40
Washermenpet,50,40,40,40,40,40,40,30,30,30,30,30,30,20,20,10,0,10,10,20,20,20,30,30,30,30,40,40,40,40,40,40,40,40,30,30,30,30,30,30,40
Thiyagaraya College,50,50,40,40,40,40,40,40,30,30,30,30,30,30,20,20,10,0,10,10,20,20,20,30,30,30,40,50,40,40,40,40,40,40,30,30,30,30,30,30,40
Tondiarpet,50,50,40,40,40,40,40,40,40,30,30,30,30,30,20,20,10,10,0,10,20,20,20,30,30,30,40,50,40,40,40,40,40,40,40,30,30,30,30,30,40
New Washermenpet,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,20,20,10,10,0,10,10,20,20,30,30,50,50,50,40,40,40,40,40,40,40,30,30,30,30,50
Tollgate,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,20,20,20,10,0,10,10,20,20,20,50,50,50,50,40,40,40,40,40,40,40,30,30,30,50
Kaladipet,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,20,20,20,10,10,0,10,20,20,20,50,50,50,50,50,40,40,40,40,40,40,40,30,30,50
Thiruvottriyur Theradi,50,50,50,50,50,40,40,40,40,40,40,40,40,30,30,30,30,20,20,20,10,10,0,10,20,20,50,50,50,50,50,40,40,40,40,40,40,40,40,30,50
Thiruvotriyur,50,50,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,20,20,20,10,0,10,10,50,50,50,50,50,50,40,40,40,40,40,40,40,40,50
Wimco Nagar,50,50,50,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,20,20,20,10,0,10,50,50,50,50,50,50,50,40,40,40,40,40,40,40,50
Wimco Nagar Depot Station,50,50,50,50,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,20,20,20,10,10,0,50,50,50,50,50,50,50,50,40,40,40,40,40,40,50
Ekkattuthangal,30,20,20,10,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,0,20,20,30,30,30,30,30,30,40,40,40,40,40,20
Ashok Nagar,30,30,20,20,20,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,20,0,10,20,20,30,30,30,30,30,30,40,40,40,20
Vadapalani,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,20,10,0,10,20,20,30,30,30,30,30,30,30,40,30
Arumbakkam,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,30,20,10,0,10,20,20,30,30,30,30,30,30,30,30
Puratchi Thalaivi Dr.J.Jayalaithaa CMBT,40,30,30,30,30,30,30,40,40,40,40,40,40,30,40,40,40,40,40,40,40,50,50,50,50,50,30,20,20,10,0,10,20,20,20,30,30,30,30,30,30
Koyambedu,40,40,30,30,30,30,40,40,40,40,40,40,40,30,40,40,40,40,40,40,40,40,40,50,50,50,30,30,20,20,10,0,10,20,20,20,30,30,30,30,30
Thirumangalam,40,40,40,30,40,40,40,40,40,40,40,30,30,30,30,30,40,40,40,40,40,40,40,40,50,50,30,30,30,20,20,10,0,10,10,20,20,30,30,30,40
Anna Nagar Tower,40,40,40,30,40,40,40,40,40,40,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,30,30,30,30,20,20,10,0,10,20,20,20,30,30,40
Anna Nagar East,40,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,30,30,30,30,20,20,10,10,0,10,20,20,20,30,40
Shenoy Nagar,40,40,40,40,40,40,40,40,40,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,30,30,30,30,20,20,20,10,0,10,20,20,20,40
Pachaiyappas College,40,40,40,40,40,40,40,30,30,30,30,30,30,20,30,30,30,30,30,30,40,40,40,40,40,40,40,30,30,30,30,30,20,20,20,10,0,10,10,20,40
Kilpauk,50,40,40,40,40,40,40,30,30,30,30,30,30,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,30,30,30,30,30,20,20,20,10,0,10,10,40
Nehru Park,40,40,40,40,40,40,30,30,30,30,30,30,20,20,20,20,30,30,30,30,30,30,40,40,40,40,40,40,30,30,30,30,30,30,20,20,10,10,0,10,40
Egmore,40,40,40,40,40,30,30,30,30,30,30,20,20,10,20,20,30,30,30,30,30,30,30,40,40,40,40,40,40,30,30,30,30,30,30,20,20,10,10,0,40
St. Thomas Mount,30,20,20,10,20,20,30,30,30,30,30,30,40,40,40,40,40,40,40,50,50,50,50,50,50,50,20,20,30,30,30,30,40,40,40,40,40,40,40,40,0